Modelo,Accuracy,Sensitivity (Recall),Specificity,PPV (Precision),NPV,F1-Score,F2-Score,ROC-AUC,PR-AUC,TP,TN,FP,FN
Random Forest,0.9273392577104025,0.91005291005291,0.9442148760330579,0.9409190371991247,0.914914914914915,0.9252286175363098,0.9160630592245419,0.9866030434212254,0.9866759057526369,860,914,54,85
LightGBM,0.9398849973863043,0.9439153439153439,0.9359504132231405,0.9350104821802935,0.9447340980187695,0.9394418114797262,0.942120828052387,0.989413616686344,0.9893571988806653,892,906,62,53
XGBoost,0.9377940407736539,0.9428571428571428,0.9328512396694215,0.9320083682008368,0.9435736677115988,0.9374013677012099,0.9406672297297298,0.9877809480082207,0.9877178933361093,891,903,65,54
AdaBoost,0.905906952430737,0.9248677248677248,0.887396694214876,0.8891149542217701,0.9236559139784947,0.9066390041493776,0.9174889775351669,0.9813011063011063,0.9798469767000937,874,859,109,71
